Quesh,Quesh Date,Respo Rating,sent_ans,sent_quesh
"Do you sleep on your back, side or belly?",2021-09-19,4.2,0.0,0.0
What is something you could never get enough of?,2021-09-20,4.625,1.875,0.0
Where is somewhere you want to go next summer?,2021-09-21,4.642857142857143,2.4285714285714284,1.0
Which fall activity do you adore most?,2021-09-22,4.636363636363637,1.0,3.0
"On a scale from 1 to 10, how productive have you been lately?",2021-09-23,4.0,0.46153846153846156,0.0
How do you want to spend the weekend?,2021-09-24,4.416666666666667,-0.08333333333333333,1.0
What piece of advice have you found most helpful?,2021-09-25,4.8,1.8,2.0
What is something you wish a smartphone could do?,2021-09-26,4.142857142857143,0.5714285714285714,1.0
How would you describe your friends?,2021-09-27,4.8,7.4,0.0
How would your friends describe you?,2021-09-28,4.333333333333333,0.3333333333333333,0.0
What is your favorite morning beverage?,2021-09-29,4.875,0.125,2.0
"If you were to create a podcast, what would it be about?",2021-09-30,4.75,4.375,0.0
What vegetable do you enjoy eating most?,2021-10-01,5.0,0.6,2.0
What do you wish you spent more time doing five years ago?,2021-10-02,5.0,2.0,1.0
Which movie is the most quotable?,2021-10-03,4.75,-0.375,0.0
Homemade Tacos or Restaurant Tacos?,2021-10-04,4.6,0.3,0.0
Who has been your best teacher and why?,2021-10-05,4.5,5.944444444444445,3.0
What weird food combination do you enjoy most?,2021-10-06,3.857142857142857,1.2857142857142858,0.0
What has been the best decision you've ever made?,2021-10-07,4.0,1.6363636363636365,3.0
"If you had the world’s attention for 30 seconds, what would you say?",2021-10-08,4.375,3.875,0.0
"If you could only listen to one singer or band for the rest of your life, who would you choose?",2021-10-09,4.4,1.6,0.0
What is something that positively affects your mental health?,2021-10-10,4.777777777777778,0.8888888888888888,2.0
What was the most memorable vacation you’ve ever been on?,2021-10-11,4.090909090909091,1.6363636363636365,1.0
What area of your life should you pay more attention to?,2021-10-12,3.9166666666666665,2.0,-1.0
What are the best type of M&M's?,2021-10-13,3.9375,0.5625,3.0
"If you had the chance to meet your future self, what would you ask first?",2021-10-14,4.090909090909091,2.090909090909091,2.0
"On a scale from 1 to 10, how healthy do you feel?",2021-10-15,4.2727272727272725,2.1818181818181817,2.0
What is the most attractive trait?,2021-10-16,4.363636363636363,2.090909090909091,2.0
What has been the highlight of your week?,2021-10-17,4.384615384615385,4.384615384615385,2.0
What's your favorite thing about your hometown?,2021-10-18,3.7777777777777777,0.6666666666666666,2.0
What song(s) can’t you help but sing along to?,2021-10-19,4.909090909090909,0.9090909090909091,2.0
What memory will always make you laugh?,2021-10-20,4.444444444444445,1.0,1.0
"If you could be a professional athlete in any one sport, which would you choose?",2021-10-21,4.166666666666667,1.3333333333333333,0.0
What would be the best Halloween costume for this year?,2021-10-22,4.071428571428571,0.5714285714285714,3.0
"If you had your own talk show, who would be your first guest and what would you want to talk about?",2021-10-23,4.5,3.5,1.0
"What is a food you didn't like to eat as a child, but love to eat as an adult?",2021-10-24,4.230769230769231,1.5384615384615385,5.0
What was the highlight of your weekend?,2021-10-25,3.9285714285714284,4.214285714285714,2.0
October or November?,2021-10-26,3.55,1.25,0.0
What is something you want to do before the end of the year?,2021-10-27,4.428571428571429,1.5,1.0
What's your superpower?,2021-10-28,4.285714285714286,2.7857142857142856,0.0
What is your favorite website?,2021-10-29,3.3333333333333335,2.2222222222222223,2.0
What’s the scariest movie you’ve seen?,2021-10-30,4.285714285714286,-0.5,0.0
What is the best and worst candy to receive on Halloween?,2021-10-31,4.454545454545454,0.8181818181818182,0.0
What is your goal for this month?,2021-11-01,4.25,1.0833333333333333,0.0
What was the best thing that happened last month?,2021-11-02,4.111111111111111,3.888888888888889,3.0
Would you rather eat every meal out or every meal at home?,2021-11-03,4.538461538461538,2.1538461538461537,0.0
"If you had the power to make one thing on Earth permanently free, what would it be?",2021-11-04,4.833333333333333,0.08333333333333333,1.0
"In one song, how would you describe this week?",2021-11-05,4.545454545454546,0.9090909090909091,0.0
What fictional character do you most relate to?,2021-11-06,4.333333333333333,1.2222222222222223,0.0
What do you wish you had more time to do?,2021-11-07,4.083333333333333,1.9166666666666667,1.0
"If you could know the truth behind any one secret or mystery, what would it be?",2021-11-08,3.9,-0.2,0.0
"At the moment, do you tend to save more or spend?",2021-11-09,3.769230769230769,0.0,2.0
Cake or Pie?,2021-11-10,4.083333333333333,1.25,0.0
"If you could call yourself at 15 years old for a brief conversation, what would you tell yourself?",2021-11-11,4.1,4.2,0.0
What was your most memorable birthday?,2021-11-12,4.3,3.5,1.0
Who is the kindest person you know?,2021-11-13,4.714285714285714,2.5714285714285716,0.0
How has November been for you so far?,2021-11-14,4.333333333333333,5.111111111111111,0.0
What company inspires you most?,2021-11-15,4.5,6.0,2.0
What are three must-haves in your dream home?,2021-11-16,4.333333333333333,2.066666666666667,1.0
What is the best fall pie?,2021-11-17,4.142857142857143,1.2142857142857142,3.0
What was the last thing that made you feel good?,2021-11-18,4.545454545454546,2.090909090909091,3.0
What is your favorite song by Adele?,2021-11-19,4.3076923076923075,2.769230769230769,2.0
"Which do you enjoy more, waking up early or staying up late?",2021-11-20,4.0,1.8666666666666667,2.0
What is the best Thanksgiving side?,2021-11-21,3.823529411764706,1.6470588235294117,3.0
"So far, what has been the best month of the year?",2021-11-22,3.75,0.875,3.0
"If you could invite one celebrity to your Thanksgiving this year, who would you choose?",2021-11-23,4.294117647058823,1.1764705882352942,1.0
What do you want for dinner tonight?,2021-11-24,3.7142857142857144,1.2857142857142858,1.0
What is something specific to this year that you are grateful for?,2021-11-25,3.75,2.0,3.0
"On a scale from 1 to 10, how much do you enjoy shopping?",2021-11-26,3.3529411764705883,1.1764705882352942,2.0
November or December?,2021-11-27,3.6,0.8666666666666667,0.0
What is something you learned this week?,2021-11-28,3.9166666666666665,2.5833333333333335,0.0
What is something you want that money can't buy?,2021-11-29,3.789473684210526,3.5789473684210527,1.0
What was the best thing that happened this month?,2021-11-30,3.9285714285714284,2.5,3.0
What is something you want to accomplish this month?,2021-12-01,3.4285714285714284,3.0952380952380953,3.0
You're invited to a cookie swap! What type of cookies are you bringing?,2021-12-02,3.53125,0.625,0.0
What song have you listened to most this year?,2021-12-03,3.88,-0.2,0.0
"What do you want more, a quiet night in or a wild night out?",2021-12-04,3.5416666666666665,0.9166666666666666,1.0
Who is someone you look up to?,2021-12-05,3.642857142857143,1.2857142857142858,0.0
What was the last concert you went to?,2021-12-06,3.65,2.0,0.0
What was your first job?,2021-12-07,4.4375,-0.0625,0.0
Would you rather move every year or live in the same town forever?,2021-12-08,3.625,0.875,0.0
"If you were to give away one product to everyone, which would you choose?",2021-12-09,3.9166666666666665,3.3333333333333335,0.0
What is the best holiday movie?,2021-12-10,4.0,1.631578947368421,3.0
What is the most useful app?,2021-12-11,3.8,3.0,2.0
What title would you give this chapter of your life?,2021-12-12,4.166666666666667,0.2777777777777778,0.0
What is the best and worst ice cream flavor?,2021-12-13,3.8421052631578947,0.8947368421052632,0.0
"If you led your own country, what would be your top three rules?",2021-12-14,4.461538461538462,3.3076923076923075,2.0
You've been gifted a free trip for 2022. Where are you going?,2021-12-15,4.117647058823529,0.8235294117647058,1.0
There's 15 days of the year left. What is something you want to do?,2021-12-16,3.9473684210526314,1.4210526315789473,1.0
What holiday song would you rate number one?,2021-12-17,3.3,0.1,0.0
What was the best memory you made this autumn?,2021-12-18,4.0,1.9333333333333333,3.0
Ice Skating or Sledding?,2021-12-19,4.0,0.05555555555555555,0.0
"If you were designing your dream office, what would be three must-haves?",2021-12-20,3.9166666666666665,2.0,1.0
What is the best part about winter?,2021-12-21,4.153846153846154,1.1153846153846154,3.0
The category is Person of the Year. Who are you nominating?,2021-12-22,3.7857142857142856,1.6428571428571428,0.0
What is something on your bucket list?,2021-12-23,4.15,0.55,0.0
Sugar Cookies or Chocolate Chip?,2021-12-24,4.0,0.04,0.0
What matters most?,2021-12-25,4.0,3.473684210526316,1.0
"If you could ask 2022 one question, what would you ask?",2021-12-26,4.3,0.6,0.0
What 2021 accomplishment are you most proud of?,2021-12-27,4.25,2.5,4.0
What's the biggest lesson you learned this year?,2021-12-28,4.333333333333333,1.6,0.0
Which day of this year do you wish you could relive?,2021-12-29,4.235294117647059,2.0588235294117645,1.0
What has been the biggest surprise of 2021?,2021-12-30,3.9411764705882355,0.5882352941176471,0.0
What do you need to leave behind this year?,2021-12-31,4.352941176470588,-1.0588235294117647,-1.0
What promise do you want to make yourself this year?,2022-01-01,3.75,1.75,2.0
Who’s the most famous person you’ve ever met?,2022-01-02,4.0625,1.1875,2.0
Which song(s) sum up your life?,2022-01-03,4.230769230769231,0.46153846153846156,0.0
Which ad jingle comes to mind first?,2022-01-04,3.5714285714285716,1.4761904761904763,0.0
