Quesh,Total Respo,Avg Rating,sent,charcount,cluster
Which movie is the most quotable?,8,4.75,-0.375,46.625,3
Homemade Tacos or Restaurant Tacos?,10,4.6,0.3,38.2,3
Who has been your best teacher and why?,18,4.5,5.944444444,202.7777778,1
What weird food combination do you enjoy most?,14,3.86,1.285714286,47.28571429,3
What has been the best decision you've ever made?,11,4.0,1.636363636,108.5454545,3
"If you had the world’s attention for 30 seconds, what would you say?",8,4.38,3.875,129.25,1
"If you could only listen to one singer or band for the rest of your life, who would you choose?",5,4.4,1.6,52.2,3
What is something that positively affects your mental health?,9,4.78,0.888888889,46.33333333,3
What was the most memorable vacation you’ve ever been on?,11,4.09,1.636363636,89.63636364,3
What area of your life should you pay more attention to?,12,3.92,2.0,66.41666667,3
What are the best type of M&M's?,16,3.94,0.5625,18.9375,3
"If you had the chance to meet your future self, what would you ask first?",11,4.09,2.090909091,34.18181818,3
"On a scale from 1 to 10, how healthy do you feel?",11,4.27,2.181818182,52.72727273,3
What is the most attractive trait?,11,4.36,2.090909091,39.09090909,3
What has been the highlight of your week?,13,4.38,4.384615385,72.76923077,3
What's your favorite thing about your hometown?,9,3.78,0.666666667,43.66666667,3
What song(s) can’t you help but sing along to?,11,4.91,0.909090909,82.63636364,3
What memory will always make you laugh?,9,4.44,1.0,107.1111111,3
"If you could be a professional athlete in any one sport, which would you choose?",12,4.17,1.333333333,34.91666667,3
What would be the best Halloween costume for this year?,14,4.07,0.571428571,44.28571429,3
"If you had your own talk show, who would be your first guest and what would you want to talk about?",8,4.5,3.5,89.125,3
"What is a food you didn't like to eat as a child, but love to eat as an adult?",13,4.23,1.538461538,49.46153846,3
What was the highlight of your weekend?,14,3.93,4.214285714,70.28571429,3
October or November?,21,3.52,1.19047619,42.42857143,2
What is something you want to do before the end of the year?,14,4.43,1.5,43.85714286,3
What's your superpower?,14,4.29,2.785714286,70.07142857,3
What is your favorite website?,9,3.33,2.222222222,76.11111111,3
What’s the scariest movie you’ve seen?,14,4.29,-0.5,54.35714286,3
What is the best and worst candy to receive on Halloween?,11,4.45,0.818181818,42.18181818,3
What is your goal for this month?,12,4.25,1.083333333,63.25,3
What was the best thing that happened last month?,9,4.11,3.888888889,80.88888889,3
Would you rather eat every meal out or every meal at home?,13,4.54,2.153846154,63.61538462,3
"If you had the power to make one thing on Earth permanently free, what would it be?",12,4.83,0.083333333,78.91666667,3
"In one song, how would you describe this week?",11,4.55,0.909090909,33.81818182,3
What fictional character do you most relate to?,9,4.33,1.222222222,81.0,3
What do you wish you had more time to do?,12,4.08,1.916666667,51.08333333,3
"If you could know the truth behind any one secret or mystery, what would it be?",10,3.9,-0.2,63.8,3
"At the moment, do you tend to save more or spend?",13,3.77,0.0,73.61538462,3
Cake or Pie?,12,4.08,1.25,39.83333333,3
"If you could call yourself at 15 years old for a brief conversation, what would you tell yourself?",10,4.1,4.2,71.4,3
What was your most memorable birthday?,10,4.3,3.5,151.9,1
Who is the kindest person you know?,7,4.71,2.571428571,81.42857143,3
How has November been for you so far?,9,4.33,5.111111111,56.44444444,3
What company inspires you most?,6,4.5,6.0,140.3333333,1
What are three must-haves in your dream home?,15,4.33,2.066666667,89.86666667,3
What is the best fall pie?,14,4.14,1.214285714,33.57142857,3
What was the last thing that made you feel good?,11,4.55,2.090909091,84.54545455,3
What is your favorite song by Adele?,13,4.31,2.769230769,54.0,3
"Which do you enjoy more, waking up early or staying up late?",15,4.0,1.866666667,88.4,3
What is the best Thanksgiving side?,17,3.82,1.647058824,55.35294118,3
"So far, what has been the best month of the year?",16,3.75,0.875,65.3125,3
"If you could invite one celebrity to your Thanksgiving this year, who would you choose?",17,4.29,1.176470588,62.0,3
What do you want for dinner tonight?,21,3.71,1.285714286,56.61904762,2
What is something specific to this year that you are grateful for?,16,3.75,2.0,54.0625,3
"On a scale from 1 to 10, how much do you enjoy shopping?",17,3.35,1.176470588,51.05882353,2
November or December?,15,3.6,0.866666667,54.33333333,3
What is something you learned this week?,12,3.92,2.583333333,97.08333333,3
What is something you want that money can't buy?,19,3.79,3.578947368,81.26315789,2
What was the best thing that happened this month?,14,3.93,2.5,98.07142857,3
What is something you want to accomplish this month?,21,3.43,3.095238095,78.57142857,2
You're invited to a cookie swap! What type of cookies are you bringing?,32,3.53,0.625,38.53125,2
What song have you listened to most this year?,25,3.88,-0.2,32.44,2
"What do you want more, a quiet night in or a wild night out?",24,3.54,0.916666667,45.70833333,2
Who is someone you look up to?,14,3.64,1.285714286,65.5,3
What was the last concert you went to?,20,3.65,2.0,63.9,2
What was your first job?,16,4.44,-0.0625,78.125,3
Would you rather move every year or live in the same town forever?,24,3.63,0.875,68.16666667,2
"If you were to give away one product to everyone, which would you choose?",12,3.92,3.333333333,111.5833333,3
What is the best holiday movie?,19,4.0,1.631578947,57.26315789,3
What is the most useful app?,15,3.8,3.0,92.6,3
What title would you give this chapter of your life?,18,4.17,0.277777778,25.5,3
What is the best and worst ice cream flavor?,19,3.84,0.894736842,78.26315789,3
"If you led your own country, what would be your top three rules?",13,4.46,3.307692308,100.2307692,3
You've been gifted a free trip for 2022. Where are you going?,17,4.12,0.823529412,41.17647059,3
There's 15 days of the year left. What is something you want to do?,19,3.95,1.421052632,45.05263158,3
What holiday song would you rate number one?,20,3.3,0.1,36.95,2
